epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67547,1.23731,3.4713,1.33919,0.0368,0.46821,0.23867,0.14618,1.00007,3.57317,1.23695,7.5e-05,7.5e-05,7.5e-05
2,18.5154,1.15874,3.42329,1.29641,0.03158,0.5093,0.30168,0.17805,1.04292,3.56166,1.23917,0.000159282,0.000159282,0.000159282
3,27.4136,1.07291,3.30054,1.21439,0.0335,0.52142,0.34693,0.19936,1.01457,3.50692,1.20462,0.0002401,0.0002401,0.0002401
4,36.285,0.99732,3.04501,1.21948,0.03287,0.54599,0.37985,0.22784,0.97793,3.45646,1.15102,0.000317452,0.000317452,0.000317452
5,45.0074,1.03648,2.83424,1.18177,0.03449,0.6588,0.40613,0.22512,1.07311,3.41401,1.18278,0.00039134,0.00039134,0.00039134
6,53.5877,1.15164,2.71739,1.23561,0.03549,0.69989,0.39675,0.24583,1.13808,3.35407,1.19336,0.000461763,0.000461763,0.000461763
7,62.2992,1.16055,2.54286,1.27151,0.03548,0.6588,0.3917,0.24921,1.11432,3.33484,1.19692,0.00052872,0.00052872,0.00052872
8,70.9819,1.23081,2.43303,1.29583,0.03716,0.63721,0.44155,0.28009,1.1532,3.18034,1.27627,0.000592213,0.000592213,0.000592213
9,79.4813,1.12819,2.17018,1.23841,0.82296,0.32807,0.48312,0.29265,1.1471,3.11242,1.29538,0.00065224,0.00065224,0.00065224
10,88.0904,1.14019,2.01647,1.24425,0.93748,0.17129,0.44674,0.27582,1.17922,3.09432,1.32352,0.000708803,0.000708803,0.000708803
11,96.9218,1.17637,1.90647,1.28837,0.73841,0.18885,0.43316,0.24407,1.2361,2.94896,1.34072,0.0007619,0.0007619,0.0007619
12,105.176,1.09474,1.72351,1.19877,0.73097,0.31361,0.48646,0.28234,1.26332,2.77556,1.37052,0.000811533,0.000811533,0.000811533
13,113.242,1.09936,1.74272,1.24168,0.61961,0.38472,0.54404,0.33066,1.24184,2.51774,1.36376,0.0008577,0.0008577,0.0008577
14,121.464,1.11371,1.67726,1.18527,0.61961,0.38472,0.54404,0.33066,1.24184,2.51774,1.36376,0.000900402,0.000900402,0.000900402
15,130.189,1.13247,1.60674,1.21973,0.67274,0.46201,0.60434,0.35063,1.27932,2.31381,1.38785,0.0009035,0.0009035,0.0009035
16,138.553,1.09566,1.52389,1.21914,0.64556,0.51556,0.60553,0.34991,1.29739,2.20015,1.3904,0.00087875,0.00087875,0.00087875
17,146.777,1.09527,1.56187,1.21086,0.60908,0.47461,0.57964,0.34882,1.35652,2.09491,1.42605,0.000854,0.000854,0.000854
18,155.078,1.10858,1.50955,1.21873,0.55766,0.5194,0.6042,0.35766,1.35922,2.03626,1.44458,0.00082925,0.00082925,0.00082925
19,163.527,1.10201,1.38739,1.21345,0.62732,0.52498,0.60918,0.36889,1.27427,1.97135,1.37881,0.0008045,0.0008045,0.0008045
20,171.915,1.04396,1.36397,1.18943,0.5893,0.56023,0.62881,0.37413,1.23936,1.88649,1.35201,0.00077975,0.00077975,0.00077975
